Parameter,Physical_Value,Raw_Optimized_Value
eta_vaccine_loss,2.6414374754892193e-5,-5.9337870794910215
omega_immunity_loss,0.007149009040537534,0.9193071124519163
tau_incubation_delay,6.001339249674622,0.008928331757245642
